Signature,Block Time,Human Time,Action,From,Token1,Amount1,TokenDecimals1,Token2,Amount2,TokenDecimals2,Value,Programs,Token1Multiplier,Token2Multiplier
4xgEdT9e3Z6pZgt7WfD14JLE9pV5w7KfijcwQsypHN4CvBUr6HVRqny2ezhFX9XS9Pc1yuhK22ozEmngihqgHvvg,1782757131,2026-06-29T18:18:51.000Z,ACTIVITY_TOKEN_SWAP,GDHkdZkNnVVs8wyoNUeh3esgrcsWZGwYjaEwAY1Spf8q,So11111111111111111111111111111111111111112,30000000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,62604195804,9,2.2609,T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT||whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
3SKser8RbBq1kw9v1SnaLWR6HMYs8rSVB5ayreU8XdMysrF4V9iubhPues3NwjTUWpWGF2VkqShDYYms84sNGygn,1782757131,2026-06-29T18:18:51.000Z,ACTIVITY_TOKEN_SWAP,8V4KeKVRBGw8oKEZKeFCbU1yFVJnn3zPKVZ7pWzm7rGv,So11111111111111111111111111111111111111112,31000000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,64725342657,9,2.3363,T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT||whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
3hrEfVniMmuMLh1DqRRdQNU7PLMuuaLrSLseL4711FcLqYbAASwfm3NTmZ4n9N4q4cuySPj4EgxdJmS3z34YovRi,1782757131,2026-06-29T18:18:51.000Z,ACTIVITY_TOKEN_SWAP,3yvooNN617ghaPovMEVD3eTcxDyYFdGYRzgLyf49SWFC,So11111111111111111111111111111111111111112,31744000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,66869930069,9,2.3923,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH||DRVSpZ2YUYYKgZP8XtLhAGtT1zYSCKzeHfb4DgRnrgqD|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
tZe5hEf6zs3HHZtHnv6KrPxhcY1jQsboF4wMtWc898FBK8Y1YDj3t2majmjZcgNRfnNB1LpS6dvxYMBeZnD9j7f,1782757131,2026-06-29T18:18:51.000Z,ACTIVITY_TOKEN_SWAP,7UCCCjPuYt1HD7PPciHjEsSJvfTV6o9ts2AuceeBFCLi,So11111111111111111111111111111111111111112,29757000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,62684251748,9,2.2426,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH||DRVSpZ2YUYYKgZP8XtLhAGtT1zYSCKzeHfb4DgRnrgqD|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
QDxy8EagTv89rgrXAhgDpxGwzD3QcqxWRZGRuXSnj69JU5VPE4tHP4H8xGZvcmPEAFFeKmwrUoefj7hABRF26Ky,1782757131,2026-06-29T18:18:51.000Z,ACTIVITY_TOKEN_SWAP,Dg4qqUsco3hD5PWTcKcXHMEqAj3e7Gy95XAhEd6Ajaso,So11111111111111111111111111111111111111112,31000000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,64794433566,9,2.335,T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT||TessVdML9pBGgG9yGks7o4HewRaXVAMuoVj4x83GLQH|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo|whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
31wh31YC2T7oZwRDY4aNcbi5b7hmho19A5EGx16X3vcGUJiZxhNB2ZjzFCzuHEAkkRevYns5s1fVX8Z7vmubnqK6,1782757131,2026-06-29T18:18:51.000Z,ACTIVITY_TOKEN_SWAP,E3zwJdiAjuLhy5RXud9AVGdpfC9SjDfsxvjxuUJBACAT,So11111111111111111111111111111111111111112,31740800,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,66852811188,9,2.3908,proVF4pMXVaYqmy4NjniPh4pqKNfMmsihgd4wdkCX3u||LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo|CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK|cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
jje7TG9r9GS1A5ohtmdzbNPvysqSCGCMcGapjyJpKuX4HcrENe5EnFn2uYGGmU86Qr77v3LHLjoMeUmhKHdWt3b,1782757131,2026-06-29T18:18:51.000Z,ACTIVITY_TOKEN_SWAP,8pNpDHvM7MotL6AUUzz1UbSc5swee6tkQUghYKpXgkri,So11111111111111111111111111111111111111112,30000000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,62612979020,9,2.259,T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT||whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
3MwDoM1JuVRfrciLKaESWEoUtsqfDefyc3EawLcm8Y4e94eqRNi4E47TGd2Psc1wic8FjwpFr8ABPVVQ9xPbT3Jw,1782757131,2026-06-29T18:18:51.000Z,ACTIVITY_TOKEN_SWAP,9JGE1Lzt1Abv5mAz6dXqYv9vDF6uaL67iZRvGeiZvT2S,So11111111111111111111111111111111111111112,31000000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,64627076923,9,2.3343,T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT||QuaNtZsgYRe5Z9Bk4LZ4cTD9tbkVoyCNf1R2BN9bBDv|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo|whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
1MuymndURUwgvpkgiWiLQmEySVENfo3cheBFFLQR8sDnNA9mBBT9Pm9qDfRzBCcN5WzQjTMQSNk1wRtEsGPfyoJ,1782757130,2026-06-29T18:18:50.000Z,ACTIVITY_TOKEN_SWAP,9kcxr8xNm558DwD5VBPd9zJSEJ4wyEZKK8hjeoyKXVmZ,So11111111111111111111111111111111111111112,29760000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,62698881118,9,2.2424,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH||DRVSpZ2YUYYKgZP8XtLhAGtT1zYSCKzeHfb4DgRnrgqD|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
66TgMN2EzhCf8mjnVrHF6EEnYuwP7xn1qxB2N87YjbQ3p69oNp2RP4ZAb88mcb3VyMtxCyWnJyFNenueVrb32sdB,1782757130,2026-06-29T18:18:50.000Z,ACTIVITY_TOKEN_SWAP,4LNGq5wZohw2QMgBoDPhTXQXUvWEs58WgPzbt3JphtYu,So11111111111111111111111111111111111111112,29760000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,62699020979,9,2.2424,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH||DRVSpZ2YUYYKgZP8XtLhAGtT1zYSCKzeHfb4DgRnrgqD|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
